Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,539,540.799988,515.090027,522.859985,522.859985,4444400
1/5/2021,521.549988,526.780029,515.890015,520.799988,520.799988,3133900
1/6/2021,511.970001,513.099976,499.5,500.48999,500.48999,5346200
1/7/2021,508.279999,516.440002,506.420013,508.890015,508.890015,3686400
1/8/2021,511.309998,513.23999,504.51001,510.399994,510.399994,2973900
1/11/2021,507.839996,510.730011,497.950012,499.100006,499.100006,3806200
1/12/2021,500,501.089996,485.670013,494.25,494.25,5990400
1/13/2021,495.5,512.349976,493.01001,507.790009,507.790009,5032100
1/14/2021,507.350006,514.5,499.579987,500.859985,500.859985,4177400
1/15/2021,500,506.320007,495.100006,497.980011,497.980011,5895800
1/19/2021,501,509.25,493.540009,501.769989,501.769989,12315800
1/20/2021,565.419983,593.289978,556.859985,586.340027,586.340027,32637500
1/21/2021,582.450012,588.75,570.400024,579.840027,579.840027,11802100
1/22/2021,582.099976,583.98999,564.349976,565.169983,565.169983,7550800
1/25/2021,567,569.75,548.650024,556.780029,556.780029,7207300
1/26/2021,554.72998,567.98999,554.059998,561.929993,561.929993,5023800
1/27/2021,550.710022,556.419983,515.72998,523.280029,523.280029,8670300
1/28/2021,535.880005,553.150024,530.73999,538.599976,538.599976,5969000
1/29/2021,538,541,530.179993,532.390015,532.390015,4325300
2/1/2021,536.789978,545.059998,531.72998,539.039978,539.039978,3547500
2/2/2021,542.01001,555.47998,538.929993,548.159973,548.159973,3767600
2/3/2021,550.169983,550.47998,538.23999,539.450012,539.450012,3172300
2/4/2021,539.809998,559.47998,537.51001,552.159973,552.159973,5164500
2/5/2021,552.26001,554.440002,545.47998,550.789978,550.789978,2376200
2/8/2021,555,555,543.700012,547.919983,547.919983,2791700
2/9/2021,546,566,543,559.070007,559.070007,3703500
2/10/2021,562.5,566.650024,553.460022,563.590027,563.590027,3991300
2/11/2021,564.440002,565.929993,554.219971,557.590027,557.590027,2730600
2/12/2021,556.940002,561.25,550.849976,556.52002,556.52002,2197100
2/16/2021,557.289978,563.630005,552.72998,557.280029,557.280029,2624100
2/17/2021,550.98999,555.25,543.030029,551.340027,551.340027,2069600
2/18/2021,549,550,538.22998,548.219971,548.219971,2456200
2/19/2021,548,548.98999,538.809998,540.219971,540.219971,2841500
2/22/2021,534.98999,541.789978,530.789978,533.780029,533.780029,3078600
2/23/2021,525,548.539978,518.280029,546.150024,546.150024,4136500
2/24/2021,539.799988,556.849976,539.070007,553.409973,553.409973,3245000
